institution_code,institution_name,city,state,latitude,longitude,zip_code
1571,Huron Hospital CCHS,East Cleveland,OH,41.530748,-81.581642,44112
1572,Kaweah Delta Health Care District,Visalia,CA,49.085167,-123.056625,93291
1574,MultiCare Good Samaritan Hosp,Puyallup,WA,38.575829,-76.855232,20601
1575,Sierra Vista Family Med,Fresno,CA,37.151333,-120.286285,93610
1576,Kettering Med Ctr,Kettering,OH,39.689582,-84.168644,45429
1578,Flower Hospital,Sylvania,OH,40.042296,-80.755533,43906
1579,University of Toledo,Toledo,OH,41.616135,-83.58464,43614
1580,Mercy St Vincent Med Ctr,Toledo,OH,41.65534,-83.535709,43604
1582,UAMS Regional Centers,Little Rock,AR,34.746468,-92.273114,72201
1583,Toledo Hospital,Toledo,OH,41.67352,-83.59444,43606
1584,St Elizabeth/NEOMED,Youngstown,OH,41.09948,-80.649759,44503
1585,Western Reserve Health Ed/NEOMED,Youngstown,OH,41.09948,-80.649759,44503
1586,FAU-Schmidt COM,Boca Raton,FL,26.35051,-80.086462,33432
1587,UCF COM/GME Consortium,Orlando,FL,28.435539,-81.314894,32827
1588,U Oklahoma COM-OK City,Oklahoma City,OK,35.46883,-97.517981,73102
1589,All Childrens Hospital,St Petersburg,FL,27.772077,-82.638486,33701
1590,Cahaba Medical Care,Centreville,AL,32.946545,-87.135517,35042
1592,Christ Community Health Services,Memphis,TN,35.149844,-90.049566,38105
1593,Kootenai Health,Coeur D'Alene,ID,47.696897,-116.793833,83814
1594,Legacy Emanuel/Good Samaritan,Portland,OR,45.515197,-122.678367,97204
1597,Providence Portland Med Ctr,Portland,OR,45.515197,-122.678367,97204
1598,Prov St Vincent Hospital,Portland,OR,45.515197,-122.678367,97204
1599,Oregon Health & Science Univ,Portland,OR,45.515197,-122.678367,97204
1600,Abington Mem Hosp,Abington,PA,33.854295,-83.997443,30078
1601,Lehigh Valley Hosp,Allentown,PA,40.602245,-75.471776,18101
1602,Sacred Heart Hospital,Allentown,PA,40.59165,-75.54957,18104
