institution_code,institution_name,city,state,institution_name_clean,geocode_query,latitude,longitude,id,type,place_type,relevance,text,place_name,bbox,center,context,properties.mapbox_id,properties.wikidata,geometry.type,geometry.coordinates,properties.accuracy,matching_text,matching_place_name,properties.override:postcode
1109,U South Florida Morsani COM,Tampa,FL,University of South Florida Morsani COM,"University of South Florida Morsani COM, Tampa, FL",27.947974,-82.457098,place.322849004,Feature,,1,Tampa,"Tampa, Florida, United States",,,,dXJuOm1ieHBsYzpFejVJN0E,Q49255,Point,,NA,NA,NA,NA
1110,Miami Childrens Hosp,Miami,FL,Miami Childrens Hospital,"Miami Childrens Hospital, Miami, FL",25.783302,-80.22966,neighborhood.402066668,Feature,,0.823111,Miami River,"Miami River, Miami, Florida, United States",,,,dXJuOm1ieHBsYzpGL2NNN0E,Q8652,Point,,NA,Miami,"Miami, Miami, Florida, United States",NA
1112,Atlanta Med Ctr,Atlanta,GA,Atlanta Medical Center,"Atlanta Medical Center, Atlanta, GA",33.76362,-84.45537,neighborhood.698182892,Feature,,0.637778,West Atlanta,"West Atlanta, Atlanta, Georgia, United States",,,,dXJuOm1ieHBsYzpLWjFzN0E,NA,Point,,NA,NA,NA,NA
1113,Emory Univ SOM,Atlanta,GA,Emory Univ SOM,"Emory Univ SOM, Atlanta, GA",33.750801,-84.389855,place.498141420,Feature,,1,Atlanta,"Atlanta, Georgia, United States",,,,dXJuOm1ieHBsYzpIYkVJN0E,Q23556,Point,,NA,NA,NA,NA
1118,Med Ctr of Columbus,Columbus,GA,Medical Center of Columbus,"Medical Center of Columbus, Columbus, GA",32.47948,-84.9758,neighborhood.398241004,Feature,,0.712963,Medical Center,"Medical Center, Columbus, Georgia, United States",,,,dXJuOm1ieHBsYzpGN3lzN0E,NA,Point,,NA,NA,NA,NA
1119,Jackson Park Hosp,Chicago,IL,Jackson Park Hospital,"Jackson Park Hospital, Chicago, IL",41.782913,-87.58651,neighborhood.318360812,Feature,,0.772222,Jackson Park,"Jackson Park, Chicago, Illinois, United States",,,,dXJuOm1ieHBsYzpFdm5NN0E,Q3157432,Point,,NA,NA,NA,NA
1120,Med Ctr Central Georgia/Mercer U SOM,Macon,GA,Medical Center Central Georgia/Mercer U SOM,"Medical Center Central Georgia/Mercer U SOM, Macon, GA",32.838003,-83.62782,place.196675820,Feature,,1,Macon,"Macon, Georgia, United States",,,,dXJuOm1ieHBsYzpDN2tJN0E,Q219656,Point,,NA,NA,NA,NA
1121,MacNeal Hospital,Berwyn,IL,MacNeal Hospital,"MacNeal Hospital, Berwyn, IL",41.850568,-87.793337,place.26601708,Feature,,1,Berwyn,"Berwyn, Illinois, United States",,,,dXJuOm1ieHBsYzpBWlhvN0E,Q578072,Point,,NA,NA,NA,NA
1127,Cook County Health and Hosps Sys,Chicago,IL,Cook County Health and Hosps System,"Cook County Health and Hosps System, Chicago, IL",41.881953,-87.632362,place.508094700,Feature,,1,Chicago,"Chicago, Illinois, United States",,,,dXJuOm1ieHBsYzpIa2pvN0E,Q1297,Point,,NA,NA,NA,NA
1131,Advocate Christ Med Ctr,Oak Lawn,IL,Advocate Christ Medical Center,"Advocate Christ Medical Center, Oak Lawn, IL",41.71159,-87.758126,place.240609516,Feature,,1,Oak Lawn,"Oak Lawn, Illinois, United States",,,,dXJuOm1ieHBsYzpEbGRvN0E,Q1007947,Point,,NA,NA,NA,NA
